1,1001,文学は予言する,1800,10,1111,2022-01-01 0:00:00
2,1002,彼女のことを知っている,1500,15,1111,2022-01-02 0:00:00
3,2001,ストレス脳,1200,60,2222,2022-02-01 0:00:00
4,3001,山奥ビジネス―一流の田舎を創造する―,950,20,3333,2022-02-02 0:00:00
5,3002,ベンチャーキャピタル全史,800,25,3333,2022-03-01 0:00:00
6,3003,伝わる仕組み―毎日の会話が変わる51のルール―,900,15,3333,2022-03-02 0:00:00
7,3004,世界を変える知財力,1100,30,3333,2022-04-01 0:00:00
8,4001,大久保利通―「知」を結ぶ指導者―,2700,40,4444,2022-04-02 0:00:00
9,4002,シルクロード―流沙に消えた西域三十六か国―,3300,45,4444,2022-05-01 0:00:00
10,5001,国家の尊厳,1300,15,5555,2022-05-02 0:00:00
